,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,google_id,book_language,categories,description
11,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,lXZqjwEACAAJ,en,History,"Part Dorothy Parker, part Jose Saramago, with shades of George Orwell, Sheila Heti has arrived on Canada's literary scene a fully formed artist. Balancing wisdom and innocence, joy and foreboding, each story in The Middle Stories leads us to surprising places. A frog doles out sage advice to a plumber infatuated with a princess, a boy falls hopelessly in love with a monkey, and a man with a hat keeps apocalyptic thoughts at bay by resolving to follow a plan that he admits he won't stick to. Globe and Mail critic Russell Smith has described Heti's stories as cryptic fairy tales without morals at the end, but really the morals are in the quality of the telling and in the details disclosed along the way. Look where you weren't going to look, think what you wouldn't have thought, Heti seems to say, and meaning itself gains more meaning and more dimensions. Heti's stories are not what you expect, but why did you expect that anyway?"""
12,0887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,esIpGQAACAAJ,en,Fiction,"A collection of inspirational true stories about love, marriage, friendship, overcoming obstacles, and achieving life dreams"
14,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,xRX8MAAACAAJ,en,Religion,"A beautifully narrated novel of time and place, ""Goodbye to the Buttermilk Sky"" re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife's increasingly dangerous infidelity with cinematic precision and palpable suspense."
16,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,Y_fZAAAAMAAJ,en,Nature,"Staring unflinchingly into the abyss of slavery, this novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved."
17,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,DidbAAAAMAAJ,en,Fiction,"The staff of The Onion presents a satirical collection of mock headlines and news stories, including an account of the Pentagon's development of an A-bomb-resistant desk for schoolchildren"
18,0440234743,The Testament,John Grisham,1999,Dell,n5F5Qc7pchwC,en,Fiction,"In New Vegetarian Celia Brooks Brown presents an innovative approach to vegetarian cooking. There's practical advice on how to choose and prepare the major vegetarian ingredients, followed by 50 original, stylish recipes, all photographed by Philip Webb."
19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,55BeIlgCRoYC,en,Fiction,"Provides advice on ways to succeed in business, finance, careers, dating, marriage, school, and getting along with others."
20,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,eLRKDwAAQBAJ,en,Humor,"Problems arise when identical twins Emma and Sam switch places in order to solve each other's problems, and the girls worry that things will only get worse if the truth about their plan is revealed."
21,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,doQDAAAACAAJ,en,Cooking,"As explained by the kids themselves, this book offers a collection of true stories that deal with moments of embarrassment and awkwardness while providing tips and advice on how to handle such difficult situations when they arise. Original."
22,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,wcqK2iNk4FEC,en,Reference,Why Should I Recycle Garbage? (PB)
23,0061076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Olsen,2000,HarperEntertainment,-J_FrU1ZMxcC,en,Juvenile Fiction,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point."
24,0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,lcGIPQAACAAJ,en,Juvenile Fiction,"A fatal mid-air collision involving a commercial airliner prompts a frantic, desperate investigation into the causes of the accident, in a thriller exploring the issue of safety and security in the aircraft industry"
25,0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,vDdAR3aT2ZoC,en,Juvenile Fiction,"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader."
26,0971880107,Wild Animus,Rich Shapero,2004,Too Far,UbN_HIWR-04C,en,Fiction,"Dr. Ransom is abducted to the eerie red planet, Malacandra, where his escape and flight endanger both his life and his chances of ever returning to Earth"
27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books,0-nhYsEeUw0C,en,Fiction,"Five American expatriates living in Budapest in the early 1990s seek to establish themselves and make their fortunes in a city still haunted by the tragedies of its Communist past. A first novel. Reader's Guide included. Reprint. 100,000 first printing."
28,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,RJ3VG7JRIvQC,en,Fiction,"When Sydney Corbett comes up with the idea of making candy figures of Jesus, it's just a business opportunity for him and the people at Bea's Candies, but it is blasphemy for the Reverend Willie Domingo and the Church of the Returning Vegetarian Christ, w"
29,0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,j410PgAACAAJ,en,Fiction,NaN
30,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Ub5rDoq-KKcC,en,Fiction,"Die Erlebnisse der schönen Felicia, Tochter eines ostpreussischen Gutsbesitzers, in den Jahren 1914 - 1930."
31,0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,lZZwAAAAMAAJ,en,Fiction,"Sister John of the Cross, an elderly nun, experiences a series of dazzling visions, but she is confronted with a difficult choice between her spiritual gifts and curing the powerful headaches that accompany her visions."
32,3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,oN4-PwAACAAJ,de,Canadian fiction,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
34,3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,v9VkQgAACAAJ,de,German fiction,"An Invitation To Murder A most unusual death has landed Helma Zukas right in the middle of another murder scene. Stanley Plummer has been cataloging a collection of Native American books for Bellehaven's new Cultural Center when his body was found in the Center's ladies room -- stabbed through his heart, and clutching a Barbie doll. Miss Zukas is asked by the library to finish the cataloging. Now she's been asked by the victim -- in a letter dated the day he died -- to get to the bottom of the mystery. Unable to resist the urge to dig into the facts, Helma becomes convinced there's something hidden in the Center that the murderer wants -- and it may be worth killing another cataloger to keep it buried. . ."
36,0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,5ztbAAAAMAAJ,en,Fiction,"The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . . After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world."
37,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,_eBnuQOIh-0C,en,Fiction,"A secret Arctic experiment turns into a frozen nightmare when a team of scientists, stranded on a drifting iceberg with a massive explosive charge, battles the elements for survival, only to discover that one of them is a murderer. Reissue."
39,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,IFbhAAAAMAAJ,en,Fiction,"Koontz looks heavenward for inspiration in his newest suspense thriller, which is chock-full of signs, portents, angels, and one somewhat second-rate devil, a murky and undercharacterized guy named Junior Cain who throws his beloved wife off a fire tower on an Oregon mountain and spends the rest of the novel waiting for the retribution that will surely come. But not before a series of tragedies ensues that convince Junior that someone or something named Bartholomew is out to exact vengeance for that crime and the series of other murders that follow. --- Amazon."
40,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,z1HPvjj8GIMC,en,Fiction,"Angered over the governor's order on speed traps, the eccentric inhabitants of the Isle of Tangier, off the coast of Virginia, declare war on their own state, and it is up to Judy Hammer, the new superintendent of the state police, to stop the crisis."
42,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,RcDCa4TlFs4C,en,Health & Fitness,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings"
43,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,7_t6mD56spYC,en,Fiction,"Carli D'Auber, who has invented a new form of communication that enables people to transfer their consciousness thousands of miles away, finds herself hunted by a conspiracy that wants to use her invention for their own purposes. Reprint. LJ. K."
44,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,jGYQyJMsN5IC,en,Fiction,"The first book in the author's successful ""last days"" series follows a 747 pilot as he tries to recover from the effects of ""The Rapture."" Reprint."
45,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,lkglDwAAQBAJ,en,Fiction,"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers"
46,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,ucNNM6vbhdAC,en,Fiction,NaN
47,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,DO7wIWAbIMkC,en,Fiction,"As relevant today as it was 50 years ago, ""All the King's Men"" is a classic novel about American politics. Set in the 1930s, this Pulitzer Prize-winning novel traces the rise and fall of demagogue Willie Stark, a fictional character based on the real-life Huey Long of Louisiana."
48,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,-OeLVK-L_DEC,en,Fiction,NaN
49,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,BPYpNsl1ov8C,en,Fiction,"Encountering a younger man on a road in Italy, seventy-something professor Alessandro Guiliani recounts his experiences, spinning a tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint."
50,0812523873,Proxies,Laura J. Mixon,1999,Tor Books,ENj-GwAACAAJ,en,Fiction,"Based on the Simontons' experience with hundreds of patients at their world-famous Cancer Counseling and Research Center, Getting Well Again introduces the scientific basis for the ""will to live."" In this revolutionary book the Simontons profile the typical ""cancer personality"": how an individual's reactions to stress and other emotional factors can contribute to the onset and progress of cancer -- and how positive expectations, self-awareness, and self-care can contribute to survival. This book offers the same self-help techniques the Simonton's patients have used to successfully to reinforce usual medical treatment -- techniques for learning positive attitudes, relaxation, visualization, goal setting, managing pain, exercise, and building an emotional support system."
51,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,xsfMpULeNOgC,en,FICTION,NaN
52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,bxxPRFlc5qgC,en,Fiction,"Ten short stories set in India, dealing with the unpredictable effects of contact between Indians and Americans."
53,0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,Td5wwgEACAAJ,en,Control (Psychology),"A love story and an epic of the frontier, Lonesome Dove is the grandest novel ever written about the last, defiant wilderness of America. Richly authentic, beautifully written, Lonesome Dove is a book to make readers laugh, weep, dream and remember. Now a blockbuster television event. Copyright © Libri GmbH. All rights reserved."
54,0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,RqlgQgAACAAJ,en,Political corruption,"Shabanu, a young nomad of the Cholistan Desert, must submit to the marriage her father arranges for her, or go against centuries of tradition by defying him."
55,0245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,hgG0QgAACAAJ,en,"Northwest, Pacific","Having relented to the ways of her people in Pakistan and married the rich older man to whom she was pledged against her will, Shabanu is now the victim of his family's blood feud and the malice of his other wives"
56,0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,UMDo59X5jH0C,en,Fiction,"Boire un chocolat chaud ou un vin de Tokay à Prague en compagnie de Mozart et Da Ponte, séjourner à Weimar avec Bach et Goethe, s'envoler pour le Japon, atterrir à Bombay, flâner sur l'île Saint-Louis, créer un jardin "" de curé "", admirer les cerfs-volants à Dieppe... Autant de promenades, d'escapades, de voyages ou de récréations auxquels nous invite Michel Tournier avec une gourmandise, une poésie et un talent jamais démentis."
57,0553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam,vCtbjpPQ3GwC,en,Family & Relationships,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his Vivid and Startling Insight Into the Brain of Man and Beast, the Origin of Human Intelligence, the Function of our Most Haunting Legends -- and Their Amazing Links to Recent Discoveries. Book jacket."
58,0961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,8V98n2x5MtYC,en,"Northwest, Pacific",NaN
59,0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,h2NWPQAACAAJ,en,Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings"
60,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,wL1pCxYFOwcC,en,American fiction,"Generally regarded as the pre-eminent work of Conrad's shorter fiction, 'Heart of Darkness' is a chilling tale of horror which, as the author intended, is capable of many interpretations."
61,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,OTwSAQAAMAAJ,en,Cholistan Desert (Pakistan),"American physician Michael Aulden stands at the center of an epic global confrontation of the body, mind, and soul, as humankind must choose between the forces of good and evil, with the fate of the entire world at stake. Original."
62,0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,JA7YAAAAMAAJ,en,Juvenile Fiction,The story of a simple country girl whose family's pretentions lead to her destruction
63,2070423204,Lieux dits,Michel Tournier,2002,Gallimard,n5hDOwAACAAJ,fr,Fiction,"From: Venus, Goddess of Love, 120 Main, Mt. Olympus To: Stacy Temple, lapsed temptress Stacy, Stacy, Stacy. You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com -- and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! -- that you haven't even tried to be coaxed out of your own thong.com! Are you listening, Stacy? Seven days to find the perfect man -- or else! Happy hunting!"
64,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,wn6oY5Q1ioAC,en,Science,"An expert in Chinese philosophy explains facets of Taoism using Milne's famous character and explores the world of Winnie-the-Pooh through Tao, characterizing Pooh as a simple bear who subscribes to the principles of successful living"
65,0394743741,The yawning heights,Aleksandr Zinoviev,1980,Random House,fYGDPwAACAAJ,en,Russian fiction,"Retraces the journey of Seabiscuit, a horse with crooked legs and a pathetic tail that made racing history in 1938, thanks to the efforts of a trainer, owner, and jockey who transformed a bottom-level racehorse into a legend."
67,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),53r3nDfhwjAC,en,Fiction,A collection of advice on how to live a happy and rewarding life.
68,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,QKuiIqgSfjoC,en,Fiction,In a futuristic military adventure a recruit goes through the roughest boot camp in the universe and into battle with the Terran Mobile Infantry in what historians would come to call the First Interstellar War
69,0312970242,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press,i6p3oahXTdAC,en,Fiction,"In nineteenth-century London, sixteen-year-old Sally, a recent orphan, becomes involved in a deadly search for a mysterious ruby."
70,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,U-1LyAaWtCoC,en,Fiction,A horse in nineteenth-century England recounts his experiences with both good and bad masters.
72,0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,SBx1DdoH5rgC,en,Fiction,"When rape and murder strike young, single women on the sun-drenched San Diego coast, police are stumped. One of the victims was Dr. Cory Cohen's patient. The trauma triggers flashbacks of Cory's own terrifying rape. Her attacker went free, but she vows this one will not. Armed with psychological expertise, she is determined to uncover his identity. In her relentless pursuit, she risks the loss of an important friendship, and worse, places herself squarely into the killer's path."
73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,gueZIor5UXYC,en,Humor,"Unlike most people Matt Beckford is actually looking forward to turning thirty. After struggling through most of his twenties he thinks his career, finances and love life are finally sorted. But when he splits up with his girlfriend, he realises that life has different plans for him. Unable to cope with his future falling apart Matt temporarily moves back to his parents. During his enforced exodus only his old school mates can keep him sane. Friends he hasn't seen since he was nineteen. Back together after a decade apart. But things will never be the same for any of them because when you're turning thirty nothing's as simple as it used to be."
74,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,kAvhr96mUQoC,en,History,"There is a signal emanating from deep within the ice of Antarctica. Atlantis has awoken. Ancient monuments all over the world - from the Pyramids of Giza, to Mexico, to the ancient sites of China - are also awakening, reacting to a brewing crisis not of this earth, connecting to each other in some kind of ancient global network. A small group of scientists is assembled to attempt to unravel the mystery. What they discover will change the world. Imagine that 12,000 years ago it really did rain for 40 days and 40 nights. That storms reigned supreme. Imagine that survivors of human civilization really were forced to take to boats or hide out in caves on mountaintops. Then consider that these same myths from around the world predict this kind of devastation will occur time and again. What could cause such a catastrophe? What occurs in nature with such frightening and predictable regularity? A pulsar. But this is not just any pulsar - the ordinary type that pulses once a second, a minute, or even a week. This pulses once every 12,000 years and sends out a gravity wave of such ferocity it beggars belief. Not only that, it's closer than anybody has ever imagined. For it lives in our own backyard. It is the Sun."
75,0451625889,The Prince,Niccolo Machiavelli,1952,Signet Book,ss4RQQAACAAJ,en,Political ethics,"The art of being truly funny is an undervalued one in these angst-ridden times, but it is an ability that acclaimed novelist Sarah Payne Stuart has in abundance. Her talents have never been on more glorious display than in My First Cousin Once Removed, a memoir--at once hilarious, personal and sad--of her extraordinary Boston Brahmin family, whose most famous member is the legendary poet Robert Lowell, the author's first cousin (once removed)."
76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,HmefkfiprOgC,en,Conduct of life,"The former vice president and conservative spokesman offers a personal account of his controversial years in the White House, from helping prosecute the war against Iraq to starting the ""Murphy Brown"" debate over family values. 300,000 first printing. $250,000 ad/promo."
77,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,fF6vAAAAIAAJ,en,Fiction,"LEADERSHIP STRATEGIES BEHIND ONE OF THE MOST POPULAR PRESIDENTS IN HISTORY How the Commander-in-Chief commands George W. Bush has surprised even his harshest critics with his leadership talents and discipline. As this countrys first MBA president, Bush formed his unique leadership style managing businesses, not government offices. Team Bush is the first book to explore these unique methods and tactics he has employed to become one of the nations most popular commanders in chief in recent history. From ""hiring"" the most diverse and effective cabinets in history, to dealing with the crisis and war sparked by the events of September 11th, this compelling leadership book takes readers into the mind and methods of Americas 43rd president, and shows managers how these methods can be used to boost productivity in their own organizations. This fast-paced book pulls no punches as it showcases President Bushs successes and strengths while detailing his mistakes and weaknesses. Focusing on the actual events and outcomes of Bushs first two years in office, it discusses: The strategy behind Bushs coup in the mid-term election Lessons learned from his managing of the September 11th crisis How Bush recognizes and learns from his very public mistakes"
78,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,NOtJvF8M3QAC,en,Juvenile Fiction,"An account of the first year of George W. Bush's presidency explores key events, including his controversial election, the September 11th terrorist attack and its aftermath, and their long-term implications for the United States."
79,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,TGbrUn5pdiUC,en,Horses,Tyrel and Orrin Sackett travel from Tennessee to Santa Fe.
80,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,J6BiAAAAMAAJ,en,Fiction,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days."
81,0966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,8bAbQkLnCOUC,en,Fiction,"Los ejércitos del Señor Oscuro van extendiendo cada vez más su maléfica sombra por la Tierra Media. Hombres, elfos y enanos unen sus fuerzas para presentar batalla contra Sauron y sus huestes. Ajenos a estos preparativos, Frodo y Sam se internan cada vez másen el país de Mordor en su heroico viaje para destruir el Anillo de Poder en las Grietas del Destino."
83,0340767936,Turning Thirty,Mike Gayle,2000,Hodder & Stoughton General Division,EWE-PgAACAAJ,en,Age groups,"Placed in the federal witness protection program after seeing a murder, Manhattan real-estate agent Lacey Farrell nevertheless must solve the case before she becomes the next victim"
84,0743403843,Decipher,Stel Pavlou,2002,Simon & Schuster (Trade Division),bROMPwAACAAJ,en,Atlantis (Legendary place),"Following her divorce, Nell Dysart takes a job working for a detective agency and finds herself knee deep in embezzlement, bribery, blackmail, arson, adultery, murder, and passion with her boss, Gabe McKenna. 75,000 first printing."
85,0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,Z6FrPQAACAAJ,en,Biography & Autobiography,"When a renowned marriage specialist is publically humiliated by her own straying husband, she fights back by trying to soften the man who made the cover of Fortune magazine ""America's Toughest Bosses"" issue. 65,000 first printing."
86,0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins,ZDB3AAAAMAAJ,en,Biography & Autobiography,"Hailed for its quirkiness and charm, this book tells the story of a New York City lawyer who runs away to a small Etruscan village with his wife and baby and discovers a community of eccentrics who make them feel right at home."
87,0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,7cZvy3fnkS8C,en,Business & Economics,"A priest experiencing a crisis of faith -- and the married woman to whom he is attracted. A scroll newly discovered near Jerusalem that, if authentic, could open Christianity to a complete reinterpretation. A tragic love affair unfolding in Fascist-dominated Rome during World War II. These are the elements of a magnificent literary entertainment -- a novel that resonates with tales of love and betrayal as it deals profoundly with questions of faith and what it means to believe. -- At once a love story, a thriller, and a rich novel of ideas."
88,0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,EIx4AAAAMAAJ,en,Political Science,"Argues that a good education and a secure job are not guarantees for financial success, and describes six guidelines for making money work for you."
89,0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,MNKUTVjzYcwC,en,Brothers,"Set in twelfth-century England, this epic of kings and peasants juxtaposes the building of a magnificent church with the violence and treachery that often characterized the Middle Ages. Reissue."
90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",-UB-8VRzPxkC,en,Fiction,"Discusses the people, the strategies, and the innovations that turned a hamburger stand into a multi-billion-dollar corporation that revolutionized an industry and influenced the culture of America."
